ht_in,male,wages,,
69,1,48000,,
67,0,15000,,
65,0,10000,,
66,0,14000,,
71,1,,,
66,1,47000,,
63,0,45000,,
65,0,30000,,
71,1,13000,,
,1,121993,,
74,1,50000,,
,0,,,
74,1,32000,,
66,0,,,
67,0,121993,,
75,1,75000,,
,0,,,
65,0,,,
64,0,,,
,1,,,
76,1,45000,,
69,0,46000,,
,1,0,,
67,0,50000,,
62,0,3000,,
69,1,10977,,
71,1,30000,,
69,0,28000,,
,1,,,
,0,,,
,0,,,
62,0,19000,,
,0,20000,,
62,0,45000,,
,0,12000,,
68,1,,,
78,0,,,
,1,,,
,1,,,
69,1,,,
67,0,43300,,
64,0,40000,,
73,1,30000,,
71,1,50000,,
73,1,27000,,
,1,,,
73,1,8000,,
73,0,0,,
71,1,32000,,
62,1,27000,,
65,1,33000,,
62,1,1000,,
,1,,,
71,1,23000,,
70,1,,,
67,0,17500,,
61,0,,,
67,0,45500,,
68,1,6500,,
66,1,30000,,
56,0,15000,,
70,1,,,
69,1,28000,,
67,0,36000,,
62,0,12000,,
61,0,,,
,0,,,
71,1,20000,,
73,1,30000,,
69,1,8000,,
,1,,,
65,0,14000,,
69,1,24000,,
57,0,24000,,
59,0,10000,,
66,1,600,,
68,0,28000,,
66,0,13400,,
66,1,15000,,
67,0,41500,,
,1,,,
67,0,58000,,
,0,,,
65,0,,,
68,0,,,
,1,,,
,1,,,
65,0,0,,
,0,26000,,
66,0,19000,,
65,0,4000,,
64,0,400,,
,0,,,
67,0,40000,,
67,0,55000,,
63,0,25000,,
,1,,,
,0,,,
73,1,,,
70,0,40000,,
,0,,,
67,0,,,
,1,,,
63,0,15000,,
66,1,,,
,0,,,
74,1,35000,,
,1,11400,,
,1,,,
70,1,65000,,
,1,,,
67,0,121993,,
75,1,65000,,
68,0,121993,,
,1,,,
67,1,40000,,
67,1,40000,,
67,1,,,
69,0,23000,,
68,0,41000,,
,1,,,
71,1,12000,,
63,0,32000,,
67,0,30000,,
,1,,,
71,1,39000,,
66,1,,,
,1,,,
62,0,40000,,
,1,,,
68,0,36000,,
66,0,50000,,
,1,,,
,0,121993,,
70,1,34000,,
75,1,30000,,
61,0,,,
68,1,15000,,
,1,48000,,
,1,,,
,0,,,
,1,,,
71,1,,,
71,1,83000,,
68,1,18000,,
69,1,59000,,
68,0,38500,,
,0,,,
74,1,39500,,
,0,,,
70,1,121993,,
69,1,,,
66,0,,,
73,1,,,
,1,,,
,1,13000,,
68,1,13000,,
71,1,,,
65,0,46000,,
63,0,,,
61,0,10000,,
64,0,55000,,
66,0,22000,,
68,0,,,
76,1,,,
,1,121993,,
,0,,,
74,1,34000,,
69,0,,,
66,0,25000,,
,1,,,
69,0,121993,,
74,1,,,
73,0,,,
77,1,34000,,
63,0,10250,,
67,1,60000,,
,1,,,
66,0,,,
67,0,23000,,
69,0,,,
70,1,35000,,
73,1,20000,,
69,1,59000,,
69,1,25000,,
70,1,45000,,
,0,,,
,0,,,
,1,,,
70,1,55000,,
71,1,43000,,
,1,,,
68,0,13000,,
73,1,29000,,
63,0,,,
63,0,,,
,1,,,
67,1,,,
,0,,,
,1,,,
70,1,,,
,0,,,
62,0,,,
71,1,17000,,
73,1,70000,,
,0,,,
64,0,,,
63,0,28500,,
61,0,26000,,
,1,,,
66,1,26000,,
,1,15000,,
61,0,5000,,
,1,,,
,1,,,
,1,,,
,1,22800,,
66,0,,,
69,1,26000,,
63,0,25000,,
,0,,,
64,1,,,
70,0,25000,,
67,1,,,
73,1,70000,,
,0,,,
,1,,,
,1,,,
67,0,17000,,
66,1,30000,,
64,1,35000,,
,0,,,
64,0,34000,,
74,1,45000,,
64,0,30000,,
71,1,47850,,
67,0,23000,,
,1,,,
62,0,,,
,0,,,
66,0,42000,,
68,0,121993,,
70,1,24000,,
66,0,6000,,
,1,75000,,
,0,,,
68,1,32000,,
,1,,,
67,1,,,
67,0,,,
